,Komentar,Kategori,clean_teks
0,"""Kaka tidur yaa, udah pagi, gaboleh capek2""",1,kaka tidur yaa pagi capai
1,"""makan nasi padang aja begini badannya""",1,makan nasi padang badan
2,"""yang aku suka dari dia adalah selalu cukur jembut sebelum manggung""",0,suka cukur jembut manggung
3,"""Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa""",1,hai kak isyana ngefans kak isyanaaku suka lagu kak isyana lagu dalam jiwa
4,"""Manusia apa bidadari sih herann deh cantik terus 😌♥️""",1,manusia bidadari sih herann deh cantik
5,"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",0,ayukinantii isyan ubah ya baju nya nakal
6,"""Gemesnya isyan kayak tango, berlapis lapis ciaaaa""",1,gemesnya isyan tango lap lapis ciaaaa
7,"""Makin jelek aja anaknya, padahal ibu ayahnya cakep2""",0,jelek anak ayah cakap
8,"""Kok anaknya kayak udah tua gitu ya mukanya kk tasya""",0,anak tua ya muka kartu keluarga tasya
9,"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",0,muka anak nya ko tua yaa ngegemesin lucu
10,"""Muka nya muka kolot wkwk bukan muka bayi2 lucu gt""",0,muka nya muka kolot wkwk muka bayi lucu
11,"""Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu""",0,gila orang wkwk jomblo psikolog laku ya
12,"""Lo sintingnya udah tingkat dewa""",0,sinting tingkat dewa
13,"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",0,lutfi putus salsa orang stress
14,"""ANAK TOLOL INI MULAI AKTIF YA BUND""",0,anak tolol aktif ya bund
15,"""bisa mati aja ga? gedeg gua liat lu. ANJIM""",0,mati gedeg liat anjim
16,"""Woy Lutfi asu , sok asik Lo ANJING !""",0,woy lutfi asu sok asyik anjing
17,"""Apasih kontol berantem aja lah ayo bngst @lutfiagizal""",0,apasih kontol tengkar ayo bngst lutfiagizal
18,"""Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya""",0,pelakor plus hamil nikah ya anak gin model
19,"""Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..""",0,anak pintar maknya lempeng asa baby tinggi azka lebih mama
20,"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""",1,anak cerdas bentuk pola asuh pola didik orangtua cerdas sih sara sesimple
21,"""Setengah iri setengah jadi motivasi ini""",1,iri motivasi
22,"""Ancur hidup lu kalau sama dia… Sumpah..""",0,hancur hidup sumpah
23,"""serem banget muka lo mel kayak ayam potong merah banget""",0,seram muka mel ayam potong merah
24,"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw""",1,yaudah usaha kuliner artis makan bikin ngiler sih wkwkw
25,"""Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss""",1,cocok usaha kuliner fixs semoha lancat terusssss
26,"""Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!""",0,jelek image owner ya artis ups artis hallo langsung orang image jelek gentong
27,"""Apaan sih gak jelas hidupnya""",0,sih hidup
28,"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""",0,unfoll bilang najissss
29,"""muka lu sensual tapi norak kenapa dah""",0,muka sensual norak
30,"""Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri""",1,jaman ngebully orang hey netizen mending ngaca kurang
31,"""Kalau pas penempatannya, sebenernya kamu imut banget loh mel.""",1,pas tempat imut loh mel
32,"""Cakep kaga jelek iya HAHAH""",0,cakap kaga jelek iya hahah
33,"""jari jari kaki kayak jarinya tukang panggul""",0,jari jari kaki jari tukang panggul
34,"""Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia""",0,kaki kek hamil tua ya bun kaki gajah ayuugsia
35,"""Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,""",1,suka heran ngehina fisik ya dosa
36,"""Ini diedit biar langsing padahal mah klo live bomber badannya""",0,edit biar langsing mah live bomber badan
37,"""Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong""",0,kaki gedong sayyy kek kaki jantan upp suka baur ama warwerwor mahluk astral kaki gedong
38,"""Bagusan foto pakai masker drpd gak pakai masker""",1,bagus foto pakai masker pakai masker
39,"""@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???""",0,rosameldianti kakak foto memek tebal memek kakak bengkak yah
40,"""Bra nya kedodoran kak make ukuran gede yaa""",0,bra nya kedodoran kak pakai ukur gede yaa
41,"""Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi""",1,cantik senang usaha buah hasil semangat ya mel moga pribadi
42,"""mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan""",0,mba sih merem melek mata kaya orang cacing
43,"""Semoga lancar terus usahanya mel""",1,moga lancar usaha mel
44,"""Cantik banget kalo meldi muka natural kek gini""",1,cantik meldi muka natural kek gin
45,"""Lu diem aja cantik mel kalo ga banyak gaya serius""",1,diam cantik mel gaya serius
46,"""Kaku kek kanebo kering hahaha""",0,kaku kek kanebo kering hahaha
47,"""Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say""",1,glowing say natural gin bagus tambahin prestasi nya ya say
48,"""Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek""",0,meldi emaknya buka klinik totok aura kayak anak totok ya aura butek
49,"""Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh""",0,muka pasar mel pasar sapi noh
50,"""Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip""",0,maaf nyamain dugong
51,"""Iya lo kamu mirip monyet mel""",0,iya monyet mel
52,"""Bagusan pantat panci aing atuh anjir""",0,bagus pantat panci aing atuh anjir
53,"""Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,""",0,ya muka muka badak muka beton malu
54,"""Kok mbak meldi sekarang tambah cantik ya rahasianya apa..""",1,mbak meldi cantik ya rahasia
55,"""Lengannya gempal banget sih HAHA""",0,lengan gempal sih haha
56,"""Fix yang komen semua nyela""",1,fix komen nyela
57,"""Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya""",1,ka gubris dipikirin syukur nikmat tuhan kasih kaka ngatain orang ka syukur nikmat
58,"""Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener""",0,jari jari nya gede gede pas ngiklan makan ikan danau hambar jari jempol hawak
59,"""Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi""",0,disamain muka rosameldianti orang oi minta disamain babi
60,"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",1,bawah meldi tara kurang lebih
61,"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",1,ka mel rendah orang syukur atas langit langit
62,"""Mukanya kalau gak dibantu kamera dekil dan kumel""",0,muka bantu kamera dekil mel
63,"""Semua wanita cantik, jangan suka merasa lebih ah""",1,wanita cantik suka ah
64,"""Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?""",0,meldi kontrak endorse skincare ya muka jelek si
65,"""Gila Netizen pada sempurna ngehina orang terus""",1,gila netizen sempurna ngehina orang
66,"""Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik""",0,ngembang habis cowok meldi enak ya otak atik
67,"""Karena muka kayak elo pasaran dan murah…""",0,muka pasar murah
68,"""Muka buluk kepedean lagi.. muka udah tua""",0,muka buluk kepedean muka tua
69,"""Muka lu kaya tai wkwkwk""",0,muka kaya tai wkwkwk
70,"""Sakit jiwa ini upil gajah… Kasihan""",0,sakit jiwa upil gajah kasihan
71,"""Jelek macam buntut kuali hahaha""",0,jelek buntut kuali hahaha
72,"""Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…""",1,meldi kurus ya cantik pakai up
73,"""Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya""",1,elu moga semakinlebih akhlak etika
74,"""Mbak mell sehat dan sukses ya""",1,mbak mell sehat sukses ya
75,"""Aamiin. Doa baik juga untuk Meldi""",1,aamiin doa meldi
